Sample_ID,pCO2,temp,infect
19013,2800,23,N
19041,2800,23,N
19076,400,23,S
19086,400,23,N
19092,400,23,S
19103,400,23,N
19158,2800,23,S
19197,2800,23,N
19227,2800,23,N
19254,2800,23,S
19264,400,23,N
19274,2800,23,S
19304,2800,23,S
19355,400,23,S
19370,400,23,N
19372,400,23,S
19378,400,23,S
19382,2800,23,S
19388,2800,23,N
19441,2800,23,N
19467,2800,23,S
19472,2800,23,S
19496,400,23,N
19505,2800,23,S
19516,400,23,N
19536,2800,23,N
19549,2800,23,S
19611,400,23,S
19637,400,23,S
19642,400,23,N
19650,400,23,S
Undetermined,NA,NA,NA